date,value,category,topic
2023-02-14,37.45522698875469,Economics,Finance
2023-02-15,37.89587671803416,Economics,Finance
2023-02-16,40.099125364431494,Economics,Finance
2023-02-17,36.57392753019575,Economics,Finance
2023-02-18,21.59183673469388,Economics,Finance
2023-02-19,19.388588088296544,Economics,Finance
2023-02-20,33.04872969596002,Economics,Finance
2023-02-21,40.099125364431494,Economics,Finance
2023-02-22,38.336526447313624,Economics,Finance
2023-02-23,38.336526447313624,Economics,Finance
2023-02-24,36.57392753019575,Economics,Finance
2023-02-25,21.59183673469388,Economics,Finance
2023-02-26,18.066638900458145,Economics,Finance
2023-02-27,38.336526447313624,Economics,Finance
2023-02-28,39.21782590587256,Economics,Finance
2023-03-01,38.77717617659309,Economics,Finance
2023-03-02,37.89587671803416,Economics,Finance
2023-03-03,37.45522698875469,Economics,Finance
2023-03-04,23.795085381091216,Economics,Finance
2023-03-05,19.82923781757601,Economics,Finance
2023-03-06,39.65847563515202,Economics,Finance
2023-03-07,34.37067888379842,Economics,Finance
2023-03-08,35.692628071636825,Economics,Finance
2023-03-09,37.014577259475224,Economics,Finance
2023-03-10,40.099125364431494,Economics,Finance
2023-03-11,22.473136193252813,Economics,Finance
2023-03-12,19.388588088296544,Economics,Finance
2023-03-13,41.42107455226989,Economics,Finance
2023-03-14,40.98042482299043,Economics,Finance
2023-03-15,42.74302374010829,Economics,Finance
2023-03-16,40.099125364431494,Economics,Finance
2023-03-17,37.45522698875469,Economics,Finance
2023-03-18,22.032486463973346,Economics,Finance
2023-03-19,19.388588088296544,Economics,Finance
2023-03-20,41.42107455226989,Economics,Finance
2023-03-21,40.98042482299043,Economics,Finance
2023-03-22,37.45522698875469,Economics,Finance
2023-03-23,37.45522698875469,Economics,Finance
2023-03-24,37.45522698875469,Economics,Finance
2023-03-25,23.354435651811748,Economics,Finance
2023-03-26,20.26988754685548,Economics,Finance
2023-03-27,39.65847563515202,Economics,Finance
2023-03-28,38.15813192023509,Economics,Finance
2023-03-29,36.827034295110614,Economics,Finance
2023-03-30,35.495936669986136,Economics,Finance
2023-03-31,38.15813192023509,Economics,Finance
2023-04-01,23.072358835490988,Economics,Finance
2023-04-02,19.9664643768672,Economics,Finance
2023-04-03,39.48922954535958,Economics,Finance
2023-04-04,38.15813192023509,Economics,Finance
2023-04-05,38.60183112860992,Economics,Finance
2023-04-06,39.48922954535958,Economics,Finance
2023-04-07,27.95305012761408,Economics,Finance
2023-04-08,20.410163585242028,Economics,Finance
2023-04-09,16.860569918243414,Economics,Finance
2023-04-10,35.052237461611305,Economics,Finance
2023-04-11,39.04553033698475,Economics,Finance
2023-04-12,36.38333508673579,Economics,Finance
2023-04-13,35.495936669986136,Economics,Finance
2023-04-14,33.72113983648683,Economics,Finance
2023-04-15,21.29756200199168,Economics,Finance
2023-04-16,18.63536675174272,Economics,Finance
2023-04-17,38.15813192023509,Economics,Finance
2023-04-18,39.48922954535958,Economics,Finance
2023-04-19,37.71443271186027,Economics,Finance
2023-04-20,36.38333508673579,Economics,Finance
2023-04-21,33.277440628112004,Economics,Finance
2023-04-22,19.522765168492374,Economics,Finance
2023-04-23,17.747968334993068,Economics,Finance
2023-04-24,35.052237461611305,Economics,Finance
2023-04-25,37.71443271186027,Economics,Finance
2023-04-26,37.71443271186027,Economics,Finance
2023-04-27,36.827034295110614,Economics,Finance
2023-04-28,37.27073350348544,Economics,Finance
2023-04-29,21.741261210366506,Economics,Finance
2023-04-30,19.079065960117546,Economics,Finance
2023-05-01,33.72113983648683,Economics,Finance
2023-05-02,38.60183112860992,Economics,Finance
2023-05-03,38.60183112860992,Economics,Finance
2023-05-04,38.60183112860992,Economics,Finance
2023-05-05,36.827034295110614,Economics,Finance
2023-05-06,21.29756200199168,Economics,Finance
2023-05-07,17.747968334993068,Economics,Finance
2023-05-08,37.27073350348544,Economics,Finance
2023-05-09,39.48922954535958,Economics,Finance
2023-05-10,37.71443271186027,Economics,Finance
2023-05-11,39.48922954535958,Economics,Finance
2023-05-12,36.38333508673579,Economics,Finance
2023-05-13,19.9664643768672,Economics,Finance
2023-05-14,17.747968334993068,Economics,Finance
2023-05-15,36.827034295110614,Economics,Finance
2023-05-16,38.15813192023509,Economics,Finance
2023-05-17,38.15813192023509,Economics,Finance
2023-05-18,37.27073350348544,Economics,Finance
2023-05-19,36.827034295110614,Economics,Finance
2023-05-20,20.853862793616855,Economics,Finance
2023-05-21,17.747968334993068,Economics,Finance
2023-05-22,36.827034295110614,Economics,Finance
2023-05-23,37.27073350348544,Economics,Finance
2023-05-24,35.052237461611305,Economics,Finance
2023-05-25,37.71443271186027,Economics,Finance
2023-05-26,35.052237461611305,Economics,Finance
2023-05-27,21.741261210366506,Economics,Finance
2023-05-28,18.191667543367895,Economics,Finance
2023-05-29,27.95305012761408,Economics,Finance
2023-05-30,38.60183112860992,Economics,Finance
2023-05-31,38.15813192023509,Economics,Finance
2023-06-01,39.04553033698475,Economics,Finance
2023-06-02,40.820327170484056,Economics,Finance
2023-06-03,23.072358835490988,Economics,Finance
2023-06-04,19.079065960117546,Economics,Finance
2023-06-05,39.9329287537344,Economics,Finance
2023-06-06,38.15813192023509,Economics,Finance
2023-06-07,36.38333508673579,Economics,Finance
2023-06-08,38.60183112860992,Economics,Finance
2023-06-09,36.38333508673579,Economics,Finance
2023-06-10,22.184960418741333,Economics,Finance
2023-06-11,18.63536675174272,Economics,Finance
2023-06-12,37.27073350348544,Economics,Finance
2023-06-13,38.60183112860992,Economics,Finance
2023-06-14,39.04553033698475,Economics,Finance
2023-06-15,40.376627962109225,Economics,Finance
2023-06-16,37.71443271186027,Economics,Finance
2023-06-17,23.072358835490988,Economics,Finance
2023-06-18,19.079065960117546,Economics,Finance
2023-06-19,35.052237461611305,Economics,Finance
2023-06-20,37.71443271186027,Economics,Finance
2023-06-21,38.15813192023509,Economics,Finance
2023-06-22,38.60183112860992,Economics,Finance
2023-06-23,37.27073350348544,Economics,Finance
2023-06-24,23.072358835490988,Economics,Finance
2023-06-25,18.63536675174272,Economics,Finance
2023-06-26,36.38333508673579,Economics,Finance
2023-06-27,39.04553033698475,Economics,Finance
2023-06-28,36.827034295110614,Economics,Finance
2023-06-29,33.277440628112004,Economics,Finance
2023-06-30,35.495936669986136,Economics,Finance
2023-07-01,22.62865962711616,Economics,Finance
2023-07-02,20.410163585242028,Economics,Finance
2023-07-03,39.9329287537344,Economics,Finance
2023-07-04,33.72113983648683,Economics,Finance
2023-07-05,40.820327170484056,Economics,Finance
2023-07-06,40.376627962109225,Economics,Finance
2023-07-07,37.71443271186027,Economics,Finance
2023-07-08,22.184960418741333,Economics,Finance
2023-07-09,19.522765168492374,Economics,Finance
2023-07-10,41.26402637885888,Economics,Finance
2023-07-11,41.70772558723371,Economics,Finance
2023-07-12,41.70772558723371,Economics,Finance
2023-07-13,40.820327170484056,Economics,Finance
2023-07-14,39.9329287537344,Economics,Finance
2023-07-15,23.959757252240642,Economics,Finance
2023-07-16,19.522765168492374,Economics,Finance
2023-07-17,41.70772558723371,Economics,Finance
2023-07-18,40.820327170484056,Economics,Finance
2023-07-19,40.820327170484056,Economics,Finance
2023-07-20,41.70772558723371,Economics,Finance
2023-07-21,39.48922954535958,Economics,Finance
2023-07-22,22.184960418741333,Economics,Finance
2023-07-23,21.29756200199168,Economics,Finance
2023-07-24,41.26402637885888,Economics,Finance
2023-07-25,40.376627962109225,Economics,Finance
2023-07-26,41.26402637885888,Economics,Finance
2023-07-27,37.71443271186027,Economics,Finance
2023-07-28,39.48922954535958,Economics,Finance
2023-07-29,24.403456460615466,Economics,Finance
2023-07-30,19.9664643768672,Economics,Finance
2023-07-31,41.70772558723371,Economics,Finance
2023-08-01,42.151424795608534,Economics,Finance
2023-08-02,43.48252242073301,Economics,Finance
2023-08-03,43.92622162910784,Economics,Finance
2023-08-04,42.151424795608534,Economics,Finance
2023-08-05,24.847155668990293,Economics,Finance
2023-08-06,20.853862793616855,Economics,Finance
2023-08-07,44.36992083748267,Economics,Finance
2023-08-08,41.70772558723371,Economics,Finance
2023-08-09,40.376627962109225,Economics,Finance
2023-08-10,42.59512400398336,Economics,Finance
2023-08-11,38.15813192023509,Economics,Finance
2023-08-12,23.072358835490988,Economics,Finance
2023-08-13,19.9664643768672,Economics,Finance
2023-08-14,37.71443271186027,Economics,Finance
2023-08-15,35.93963587836096,Economics,Finance
2023-08-16,39.04553033698475,Economics,Finance
2023-08-17,41.70772558723371,Economics,Finance
2023-08-18,39.48922954535958,Economics,Finance
2023-08-19,22.62865962711616,Economics,Finance
2023-08-20,19.522765168492374,Economics,Finance
2023-08-21,41.26402637885888,Economics,Finance
2023-08-22,39.48922954535958,Economics,Finance
2023-08-23,39.04553033698475,Economics,Finance
2023-08-24,39.48922954535958,Economics,Finance
2023-08-25,39.04553033698475,Economics,Finance
2023-08-26,21.741261210366506,Economics,Finance
2023-08-27,19.079065960117546,Economics,Finance
2023-08-28,38.60183112860992,Economics,Finance
2023-08-29,40.820327170484056,Economics,Finance
2023-08-30,38.15813192023509,Economics,Finance
2023-08-31,39.9329287537344,Economics,Finance
2023-09-01,38.60183112860992,Economics,Finance
2023-09-02,23.516058043865815,Economics,Finance
2023-09-03,18.63536675174272,Economics,Finance
2023-09-04,35.052237461611305,Economics,Finance
2023-09-05,41.26402637885888,Economics,Finance
2023-09-06,39.9329287537344,Economics,Finance
2023-09-07,39.04553033698475,Economics,Finance
2023-09-08,39.48922954535958,Economics,Finance
2023-09-09,22.62865962711616,Economics,Finance
2023-09-10,19.9664643768672,Economics,Finance
2023-09-11,39.9329287537344,Economics,Finance
2023-09-12,39.9329287537344,Economics,Finance
2023-09-13,40.820327170484056,Economics,Finance
2023-09-14,39.04553033698475,Economics,Finance
2023-09-15,40.376627962109225,Economics,Finance
2023-09-16,23.072358835490988,Economics,Finance
2023-09-17,19.522765168492374,Economics,Finance
2023-09-18,38.60183112860992,Economics,Finance
2023-09-19,37.71443271186027,Economics,Finance
